"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Merthyr Tydfil 002C ",23,23,12,20,27,25,19,20,11,14,12,12,10,20,20,15
"Merthyr Tydfil 002D ",28,29,18,34,33,24,28,29,16,12,20,19,23,32,36,22
"Merthyr Tydfil 002E ",20,20,10,18,21,23,18,16,13,7,8,11,9,16,20,13
"Merthyr Tydfil 002F ",20,20,12,21,24,22,15,16,13,9,14,12,13,15,26,15
"Merthyr Tydfil 003A ",25,26,12,21,21,27,28,35,16,10,13,8,8,16,29,16
"Merthyr Tydfil 003B ",4,4,3,4,4,5,3,3,6,2,4,3,3,2,6,3
"Merthyr Tydfil 003C ",18,17,13,14,20,33,8,13,13,18,14,10,11,13,14,14
"Merthyr Tydfil 003D ",12,12,10,17,12,13,11,14,10,7,13,9,9,15,18,11
"Merthyr Tydfil 003E ",21,19,11,16,27,28,14,12,11,13,15,10,8,12,21,14
"Merthyr Tydfil 008A ",49,47,33,38,67,37,42,38,32,36,27,33,36,37,40,38
"Merthyr Tydfil 008B ",51,52,30,26,62,41,50,56,33,27,26,31,28,27,26,34
"Merthyr Tydfil 008C ",49,49,27,32,55,45,48,50,25,32,26,22,23,30,33,33
"Merthyr Tydfil 008D ",68,65,36,42,71,77,57,51,34,40,39,28,29,43,42,45
"Merthyr Tydfil 008E ",39,40,24,30,38,46,33,48,14,23,32,15,27,22,49,29
"Merthyr Tydfil 008F ",37,38,16,17,40,33,38,42,16,15,17,14,14,11,25,20
"Caerphilly 001A ",33,33,19,21,42,35,27,29,25,23,19,13,15,16,29,22
"Caerphilly 001B ",24,22,21,32,24,23,25,12,22,25,25,14,23,27,38,23
"Caerphilly 001C ",39,39,31,32,50,31,35,40,35,27,30,28,35,24,42,33
"Caerphilly 001D ",37,37,22,22,35,41,35,39,27,20,27,18,20,20,25,25
"Caerphilly 001E ",51,49,37,46,57,42,60,37,35,38,44,36,34,41,58,42
"Caerphilly 001F ",33,34,19,19,44,34,26,38,27,19,20,16,13,18,20,21
"Caerphilly 002A ",17,17,11,19,21,20,13,18,11,13,14,8,9,13,31,14
"Caerphilly 002B ",30,33,24,27,40,26,28,46,16,24,17,22,28,24,31,25
"Caerphilly 002C ",21,20,14,24,24,15,25,12,20,14,20,11,9,19,30,17
"Caerphilly 002D ",35,34,21,26,39,39,28,29,22,24,22,14,21,20,33,24
"Caerphilly 002E ",50,50,30,35,51,53,46,52,29,31,21,29,32,30,42,35
"Caerphilly 003A ",29,31,22,30,35,25,29,42,24,17,17,23,18,29,32,25
"Caerphilly 003B ",47,44,24,35,47,46,47,27,27,27,26,25,16,38,32,31
"Caerphilly 003C ",24,25,18,24,26,21,26,30,16,16,18,16,23,19,28,21
"Caerphilly 004A ",28,27,17,22,22,28,32,23,14,15,17,16,19,18,28,20
"Caerphilly 004B ",23,23,16,15,40,19,16,26,17,20,19,14,8,12,21,17
"Caerphilly 004C ",25,25,16,24,19,31,25,26,19,15,15,15,15,16,36,19
"Caerphilly 004D ",58,59,37,38,64,53,55,62,39,33,42,35,31,38,39,42
"Caerphilly 005A ",51,47,25,28,64,48,45,29,23,28,25,24,22,28,27,31
"Caerphilly 005B ",17,19,11,23,12,17,22,25,12,13,11,10,5,17,31,14
"Caerphilly 005C ",23,25,12,17,17,16,31,34,10,11,12,10,10,14,20,15
"Caerphilly 005D ",12,12,5,7,14,7,13,12,5,4,7,5,5,5,10,7
"Caerphilly 006A ",13,13,5,9,17,14,11,13,7,9,4,3,3,5,14,8
"Caerphilly 006B ",10,11,8,15,9,9,12,17,9,6,8,9,4,12,19,9
"Caerphilly 006C ",43,41,22,20,52,35,40,33,23,24,22,19,20,16,25,26
"Caerphilly 006D ",19,19,12,15,26,12,20,20,16,9,14,11,10,12,19,14
"Caerphilly 006E ",7,7,4,7,5,10,7,4,7,5,5,4,3,2,14,6
"Caerphilly 006F ",25,26,13,16,20,24,32,28,10,12,16,12,10,12,23,16
"Caerphilly 009A ",35,35,21,35,32,39,35,31,25,18,18,23,21,28,46,27
"Caerphilly 009B ",8,9,6,11,14,5,8,12,11,8,4,4,3,3,23,7
"Caerphilly 009C ",20,20,11,17,20,20,20,19,15,11,12,8,11,11,28,14
"Caerphilly 009D ",11,10,6,9,14,13,7,7,8,7,6,6,6,7,12,8
"Caerphilly 011A ",22,23,15,25,22,17,27,29,12,16,10,18,14,18,33,18
"Caerphilly 011B ",28,29,19,28,34,26,27,34,20,18,17,19,21,26,30,23
"Caerphilly 011C ",22,21,12,21,24,24,19,11,11,15,10,13,9,14,30,15
"Caerphilly 011D ",9,9,4,5,8,15,6,7,11,4,5,3,2,3,9,5
"Caerphilly 011E ",36,36,18,22,58,32,31,35,22,19,18,13,15,19,25,22
"Caerphilly 010A ",16,16,8,15,16,19,13,17,6,9,9,8,7,9,24,11
"Caerphilly 010B ",44,42,23,28,51,45,37,36,27,21,18,27,20,23,36,28
"Caerphilly 010C ",21,21,10,15,21,22,21,16,13,11,13,7,7,12,20,13
"Caerphilly 010D ",32,33,14,15,45,33,25,36,14,14,11,10,12,9,21,17
"Caerphilly 014A ",18,18,9,11,16,28,10,18,15,8,8,7,6,8,17,11
"Caerphilly 014B ",26,27,16,17,20,28,28,35,21,15,15,15,10,14,21,18
"Caerphilly 014C ",24,24,12,20,25,19,28,24,14,11,15,8,11,17,22,16
"Caerphilly 014D ",23,21,9,16,32,20,17,13,13,11,10,7,5,8,25,13
"Caerphilly 015A ",22,23,14,27,22,23,21,25,14,12,19,10,16,20,33,19
"Caerphilly 015B ",21,21,12,21,18,23,22,19,13,10,11,11,13,14,29,15
"Caerphilly 015C ",15,17,11,18,7,13,24,30,11,12,6,9,10,12,28,13
"Caerphilly 016A ",22,21,9,9,19,26,23,11,9,12,9,6,8,7,12,11
"Caerphilly 016B ",39,35,18,26,58,34,30,16,20,15,20,15,19,22,33,24
"Caerphilly 016C ",17,18,9,10,21,17,14,21,14,5,13,7,5,9,12,10
"Caerphilly 016D ",31,27,16,16,28,35,29,11,21,18,17,16,13,12,21,19
"Caerphilly 017A ",23,22,14,19,25,24,19,22,13,12,8,18,16,14,25,16
"Caerphilly 017B ",23,23,13,15,28,18,22,23,13,11,14,14,11,12,20,15
"Caerphilly 017C ",27,26,14,23,29,23,30,19,15,13,15,12,13,17,30,18
"Caerphilly 007A ",32,33,21,30,29,30,39,34,23,20,20,19,19,23,41,25
"Caerphilly 007B ",28,29,20,25,27,27,29,33,9,25,21,20,18,22,28,22
"Caerphilly 007C ",27,27,18,22,42,19,22,28,22,17,17,21,13,13,30,21
"Caerphilly 007D ",36,38,24,22,45,33,33,50,26,26,21,20,16,16,32,26
"Caerphilly 007E ",18,17,11,24,14,25,15,12,11,10,10,13,11,17,33,15
"Caerphilly 008A ",38,37,22,25,53,32,31,33,25,22,22,22,14,19,35,26
"Caerphilly 008B ",17,17,12,28,11,17,24,16,14,9,12,10,16,24,33,15
"Caerphilly 008C ",22,19,10,19,18,16,31,7,14,10,9,13,9,14,25,14
"Caerphilly 008D ",12,12,5,11,11,22,8,11,8,6,3,6,2,6,22,7
"Caerphilly 008E ",34,34,17,34,32,37,35,34,14,16,19,13,18,34,33,23
"Caerphilly 012A ",34,33,13,23,32,46,27,25,15,13,18,7,12,22,25,19
"Caerphilly 012B ",40,41,25,37,48,35,40,46,31,23,22,23,22,33,42,30
"Caerphilly 012C ",21,21,16,24,16,23,22,20,20,13,14,14,20,19,31,18
"Caerphilly 012D ",17,16,9,19,18,16,17,13,10,7,11,7,10,15,25,13
"Caerphilly 013A ",19,21,12,8,26,22,14,27,11,13,15,8,9,7,9,12
"Caerphilly 013B ",34,34,18,25,37,30,36,34,18,20,12,17,17,16,37,23
"Caerphilly 013C ",22,20,10,15,22,28,19,9,19,10,13,4,13,5,29,13
"Caerphilly 013D ",16,15,10,17,14,20,14,12,9,10,8,11,13,14,22,12
"Caerphilly 013E ",26,24,13,16,30,23,24,18,10,15,9,15,12,12,20,16
"Caerphilly 013F ",3,3,3,11,4,3,2,3,10,4,4,1,2,10,12,5
"Caerphilly 018A ",24,23,16,35,32,17,25,16,16,14,14,14,20,24,51,21
"Caerphilly 018B ",27,27,17,31,26,25,30,32,15,16,17,16,18,29,33,21
"Caerphilly 018C ",41,40,21,29,46,37,41,33,24,22,22,15,18,24,36,26
"Caerphilly 018D ",34,35,21,25,33,29,39,42,15,25,20,16,19,25,26,25
"Caerphilly 019A ",17,18,11,11,19,16,15,22,10,12,9,11,9,7,18,12
"Caerphilly 019B ",19,19,11,20,24,23,12,18,12,15,9,10,8,17,23,14
"Caerphilly 019C ",40,39,18,34,51,30,41,35,18,24,21,10,17,32,36,24
"Caerphilly 019D ",37,37,20,20,38,30,44,35,25,19,16,18,18,19,22,23
"Caerphilly 019E ",12,12,9,12,14,10,12,14,13,10,5,9,8,8,18,10
"Caerphilly 019F ",53,54,32,33,60,51,51,58,28,33,29,34,26,36,30,38
"Caerphilly 020A ",9,8,4,14,10,3,15,2,5,4,5,5,3,11,19,7
"Caerphilly 020B ",47,43,22,37,52,44,46,26,17,21,27,21,20,31,44,29
"Caerphilly 020C ",19,18,11,20,19,23,16,15,10,10,14,10,12,15,26,15
"Caerphilly 020D ",25,26,13,25,22,24,30,29,12,12,16,8,13,20,30,18
"Caerphilly 021A ",8,7,4,14,6,8,9,6,5,5,3,3,5,11,18,7
"Caerphilly 021B ",14,13,7,8,9,10,21,8,11,10,5,6,8,5,13,9
"Caerphilly 021C ",63,59,36,29,68,64,54,39,32,44,34,37,25,34,22,43
"Caerphilly 021D ",10,13,10,16,13,11,8,21,13,7,9,7,10,13,21,11
"Caerphilly 022A ",36,35,21,40,36,44,31,29,24,21,20,18,21,31,57,27
"Caerphilly 022B ",13,14,10,11,10,11,20,17,11,13,7,11,8,9,16,11
"Caerphilly 022C ",17,17,11,20,20,15,18,16,18,9,8,11,11,13,32,14
"Caerphilly 022D ",11,13,8,9,14,7,13,24,9,7,8,10,4,5,20,9
"Caerphilly 022E ",57,57,43,54,66,53,52,59,41,42,41,42,41,48,65,48
"Caerphilly 022F ",64,58,30,13,60,73,59,29,17,40,32,35,22,13,13,33
"Caerphilly 023A ",14,16,10,20,22,14,8,32,7,10,7,11,9,14,28,13
"Caerphilly 023B ",8,6,3,5,9,10,4,1,5,4,2,3,2,3,13,4
"Caerphilly 023C ",35,33,18,22,54,28,27,27,20,18,18,14,19,16,30,22
"Caerphilly 023D ",31,32,24,37,20,36,36,36,22,19,20,26,25,37,38,27
"Caerphilly 023E ",20,21,10,15,18,20,21,26,8,13,8,7,8,10,19,13
"Caerphilly 024A ",12,12,6,15,9,12,16,10,11,4,4,5,7,8,28,8
"Caerphilly 024B ",4,4,4,7,5,3,6,4,5,2,2,4,5,3,12,5
"Caerphilly 024C ",22,21,11,31,32,17,16,18,8,13,12,10,11,16,46,18
"Caerphilly 024D ",15,16,8,11,18,7,20,20,13,9,6,7,5,12,10,10
"Caerphilly 024E ",9,9,5,5,7,12,9,8,4,6,6,7,2,3,7,6
"Caerphilly 024F ",5,5,3,10,8,4,4,5,9,3,2,2,4,5,18,4
"Blaenau Gwent 001A ",37,36,18,19,28,35,45,36,25,17,18,16,14,14,26,22
"Blaenau Gwent 001B ",34,35,21,38,41,31,30,36,31,17,19,20,17,29,46,27
"Blaenau Gwent 001C ",14,12,7,9,16,14,11,5,11,11,4,5,5,6,14,8
"Blaenau Gwent 001D ",15,17,10,10,19,11,16,26,11,13,9,8,6,7,16,11
"Blaenau Gwent 001E ",45,43,24,28,54,33,46,33,27,23,28,19,20,23,35,29
"Blaenau Gwent 002A ",20,18,10,19,23,16,20,12,16,10,10,11,7,10,26,14
"Blaenau Gwent 002B ",35,34,20,25,40,35,29,28,25,19,21,18,16,23,29,24
"Blaenau Gwent 002C ",27,26,19,21,42,18,19,17,15,22,18,17,20,15,28,20
"Blaenau Gwent 002D ",19,20,17,27,23,12,22,25,14,22,11,15,20,24,31,20
"Blaenau Gwent 003A ",11,11,10,13,11,7,15,7,10,7,8,9,15,9,18,11
"Blaenau Gwent 003B ",48,46,32,39,48,53,44,35,36,32,29,26,36,38,40,37
"Blaenau Gwent 003C ",35,34,19,16,32,35,36,30,28,17,18,16,16,12,25,21
"Blaenau Gwent 003D ",12,13,11,16,19,8,7,15,16,16,7,9,9,11,24,12
"Blaenau Gwent 003E ",40,42,27,31,44,41,36,56,24,23,29,23,25,25,39,30
"Blaenau Gwent 004A ",29,29,14,28,41,26,21,27,12,16,11,13,16,23,33,20
"Blaenau Gwent 004B ",14,15,10,14,15,10,16,17,9,10,8,9,10,12,17,11
"Blaenau Gwent 004C ",42,41,22,19,41,37,47,37,20,21,24,21,17,18,22,25
"Blaenau Gwent 004D ",57,56,28,38,69,58,44,47,26,30,25,25,27,34,48,35
"Blaenau Gwent 004E ",23,22,10,16,25,15,26,19,12,12,8,8,9,12,21,13
"Blaenau Gwent 005A ",24,22,18,28,31,15,24,15,25,19,13,19,19,23,35,21
"Blaenau Gwent 005B ",33,32,16,26,37,32,32,23,21,17,15,13,14,20,34,21
"Blaenau Gwent 005C ",23,22,12,18,29,17,24,17,18,13,7,11,12,14,22,15
"Blaenau Gwent 005D ",47,45,21,32,54,42,47,32,27,22,19,15,21,28,37,28
"Blaenau Gwent 005E ",34,34,19,25,25,25,49,30,20,20,18,18,15,19,31,22
"Blaenau Gwent 005F ",51,46,27,40,61,46,47,30,34,30,17,27,28,32,49,34
"Blaenau Gwent 006A ",16,18,14,26,17,11,19,28,14,8,11,17,16,23,29,17
"Blaenau Gwent 006B ",19,18,9,14,22,18,16,15,11,10,12,6,7,9,20,12
"Blaenau Gwent 006C ",25,26,11,16,33,21,22,29,13,9,11,10,9,11,23,14
"Blaenau Gwent 006D ",60,60,37,35,65,50,68,57,32,36,35,40,35,33,38,41
"Blaenau Gwent 006E ",45,44,24,31,28,54,53,40,19,24,26,24,22,24,41,28
"Blaenau Gwent 007A ",29,28,14,22,17,35,32,23,8,16,14,15,14,21,23,18
"Blaenau Gwent 007B ",39,36,21,29,45,36,36,20,29,23,16,18,23,19,41,26
"Blaenau Gwent 007C ",12,13,8,11,10,14,11,15,8,7,11,7,5,7,18,9
"Blaenau Gwent 007D ",45,44,26,27,40,43,53,37,34,26,30,23,14,30,23,31
"Blaenau Gwent 007E ",26,27,15,25,29,23,24,32,16,14,16,14,11,19,32,19
"Blaenau Gwent 007F ",34,33,16,29,35,39,30,27,17,18,17,13,12,16,47,21
"Blaenau Gwent 008A ",31,27,13,14,51,25,23,12,19,15,17,9,9,10,17,16
"Blaenau Gwent 008B ",32,31,21,21,35,26,37,25,20,26,33,12,16,18,24,23
"Blaenau Gwent 008C ",20,21,11,17,17,24,18,26,12,9,16,12,4,14,19,14
"Blaenau Gwent 008D ",37,39,25,27,38,32,42,52,23,25,21,22,24,23,34,28
"Blaenau Gwent 008E ",33,32,16,21,34,39,26,27,16,16,15,13,15,18,25,20
"Blaenau Gwent 008F ",25,24,18,23,27,32,18,16,19,18,18,16,20,16,31,20
"Blaenau Gwent 009A ",35,35,24,35,41,27,37,32,28,23,25,21,21,26,46,28
"Blaenau Gwent 009B ",48,45,23,22,49,46,49,28,25,28,21,20,21,17,31,27
"Blaenau Gwent 009C ",37,35,19,20,39,31,44,20,19,26,21,15,15,14,28,22
"Blaenau Gwent 009D ",41,39,21,24,46,43,35,29,20,24,20,17,24,26,21,25
"Blaenau Gwent 009E ",32,31,14,18,40,31,27,23,18,15,15,14,10,14,24,18
"Torfaen 001A ",32,31,17,19,42,28,30,24,14,23,16,14,14,14,27,20
"Torfaen 001B ",33,33,24,33,40,25,34,38,29,23,20,23,23,31,36,27
"Torfaen 001C ",25,25,18,21,26,21,27,29,21,13,21,20,15,17,26,20
"Torfaen 001D ",32,29,13,15,45,33,19,17,17,18,13,11,7,11,22,17
"Torfaen 002A ",40,36,19,24,34,37,47,23,20,19,16,20,18,20,28,24
"Torfaen 002B ",45,43,25,31,47,51,37,27,29,30,25,18,25,26,37,31
"Torfaen 002C ",20,20,10,12,17,18,25,21,11,9,10,10,7,9,17,12
"Torfaen 002D ",31,32,24,28,45,24,29,37,28,20,17,23,27,21,37,26
"Torfaen 002E ",28,24,12,17,23,31,30,9,14,20,13,9,8,11,26,16
"Torfaen 003A ",44,40,22,25,46,40,46,25,25,22,24,22,18,21,30,27
"Torfaen 003B ",38,34,20,21,51,30,33,12,25,23,13,19,20,16,26,23
"Torfaen 003C ",56,54,31,37,61,54,52,44,28,36,27,24,37,31,50,39
"Torfaen 003D ",36,34,18,23,44,42,27,24,21,23,13,15,16,17,34,22
"Torfaen 004A ",38,35,17,23,46,33,33,18,23,16,19,14,18,17,33,22
"Torfaen 004B ",46,41,18,17,52,49,37,19,21,26,17,15,15,15,20,23
"Torfaen 004C ",27,26,14,17,24,23,36,17,19,14,14,12,10,17,18,17
"Torfaen 004D ",23,22,18,19,35,24,10,16,20,15,19,19,17,14,26,19
"Torfaen 004E ",15,18,8,18,15,15,16,24,17,6,6,4,6,11,25,11
"Torfaen 004F ",39,38,14,18,40,44,34,32,9,17,22,13,5,17,20,19
"Torfaen 005A ",26,24,11,12,28,24,26,18,18,12,9,10,6,5,21,14
"Torfaen 005B ",21,22,13,12,21,18,24,26,16,12,13,12,8,6,22,14
"Torfaen 005C ",4,4,2,5,2,0,8,4,3,1,3,0,2,4,8,3
"Torfaen 005D ",6,6,4,4,8,2,8,4,11,3,5,2,3,2,6,4
"Torfaen 006A ",8,8,4,13,2,9,12,6,6,5,4,5,3,8,17,7
"Torfaen 006B ",15,16,9,12,18,15,14,16,10,9,11,6,8,9,14,11
"Torfaen 006C ",32,32,17,21,49,32,22,31,13,23,17,12,17,19,23,20
"Torfaen 006D ",5,5,4,16,6,3,7,6,6,4,4,4,7,8,29,6
"Torfaen 006E ",11,12,6,7,19,13,6,14,10,11,2,7,2,2,13,7
"Torfaen 008A ",15,16,13,25,18,15,13,20,10,11,10,14,16,26,24,16
"Torfaen 008B ",16,15,7,9,13,16,17,11,7,8,8,5,6,7,11,9
"Torfaen 008C ",17,15,8,14,20,11,20,11,8,15,6,6,6,9,18,11
"Torfaen 008D ",16,16,10,15,20,10,18,16,11,9,9,12,7,14,16,12
"Torfaen 013A ",16,16,10,20,13,14,24,15,10,6,11,10,13,20,21,13
"Torfaen 013B ",9,10,7,11,11,12,6,15,11,7,7,5,6,8,14,8
"Torfaen 013C ",6,6,6,6,8,4,7,6,9,7,8,4,3,4,8,6
"Torfaen 013D ",2,3,3,5,8,0,0,7,7,0,2,2,2,4,6,3
"Torfaen 007A ",46,43,29,30,47,52,39,26,22,29,30,30,30,26,33,32
"Torfaen 007B ",21,20,9,16,19,24,21,13,9,11,9,8,7,7,24,12
"Torfaen 007C ",29,28,15,16,32,27,28,26,19,15,16,12,10,14,18,18
"Torfaen 007D ",17,16,14,39,18,18,15,14,16,10,13,12,22,35,43,20
"Torfaen 007E ",20,17,6,8,27,21,12,6,8,7,8,5,3,5,12,8
"Torfaen 009A ",45,42,22,32,50,42,43,31,28,24,19,21,16,29,39,29
"Torfaen 009B ",33,34,21,34,31,37,32,38,18,20,23,20,17,27,47,26
"Torfaen 009C ",44,43,26,37,36,51,44,34,20,28,29,29,20,35,41,32
"Torfaen 009D ",41,43,25,37,43,32,44,53,32,25,23,19,22,26,52,30
"Torfaen 009E ",37,37,18,22,29,43,41,34,15,18,17,14,17,22,22,22
"Torfaen 010A ",27,26,24,25,32,21,26,24,26,24,23,24,25,23,26,25
"Torfaen 010B ",45,45,22,24,46,39,52,44,31,20,21,22,16,24,25,27
"Torfaen 010C ",19,24,20,31,28,14,16,70,16,10,16,20,27,27,35,23
"Torfaen 010D ",19,20,15,20,20,19,18,24,12,14,15,9,20,15,27,17
"Torfaen 010E ",32,29,19,39,35,25,35,17,23,19,15,18,21,39,39,25
"Torfaen 011A ",30,30,18,23,23,32,33,31,27,15,18,17,15,17,29,22
"Torfaen 011B ",44,40,20,27,39,48,46,23,27,24,21,15,15,26,29,27
"Torfaen 011C ",22,20,11,19,29,18,17,15,18,8,12,10,9,17,25,14
"Torfaen 011D ",5,6,4,5,2,7,4,12,6,5,2,4,2,4,7,4
"Torfaen 011E ",13,12,6,10,10,16,13,9,4,14,8,4,3,6,20,8
"Torfaen 012A ",22,20,11,14,26,22,18,15,18,14,9,9,7,8,26,14
"Torfaen 012B ",5,5,3,10,5,8,4,3,6,3,2,2,3,5,21,4
"Torfaen 012C ",19,21,12,14,22,17,19,29,13,10,9,12,12,8,22,14
"Torfaen 012D ",17,18,10,13,17,18,16,22,11,9,14,7,6,10,20,12
"Monmouthshire 006A ",6,6,3,4,3,6,7,7,10,6,4,2,1,3,6,4
"Monmouthshire 006B ",12,13,8,12,20,9,11,19,14,7,8,6,6,9,16,10
"Monmouthshire 006C ",3,3,3,3,2,2,5,4,3,7,0,2,3,2,4,3
"Monmouthshire 006D ",8,8,5,7,10,6,7,6,5,9,4,4,4,5,10,6
"Monmouthshire 006E ",2,5,3,14,0,0,4,17,2,0,2,3,4,6,21,6
"Monmouthshire 006F ",3,3,4,8,1,4,4,2,5,3,3,5,3,6,11,5
"Monmouthshire 007A ",6,7,4,6,10,8,2,11,9,3,3,4,1,5,6,5
"Monmouthshire 007B ",9,8,4,6,13,5,9,1,11,5,5,4,3,4,10,6
"Monmouthshire 007C ",2,3,2,4,2,1,3,4,5,5,1,1,1,1,7,3
"Monmouthshire 007D ",7,8,6,5,11,5,7,12,20,8,3,4,4,2,9,6
"Monmouthshire 007E ",10,11,7,10,8,8,12,20,3,9,8,7,6,6,16,8
"Monmouthshire 007F ",4,5,3,5,0,5,4,8,4,1,5,4,0,4,7,4
"Monmouthshire 008A ",10,10,9,8,13,14,5,13,14,11,10,7,5,6,11,9
"Monmouthshire 008B ",20,20,10,13,21,16,22,18,11,10,10,10,8,8,20,13
"Monmouthshire 008C ",11,11,11,20,14,6,12,10,10,8,10,15,11,23,18,13
"Monmouthshire 008D ",38,37,18,31,40,37,36,32,15,20,16,19,15,28,35,25
"Monmouthshire 008E ",26,26,12,17,31,25,21,26,17,13,11,9,11,11,23,15
"Monmouthshire 009A ",10,11,5,10,7,16,8,13,8,7,7,3,3,7,14,7
"Monmouthshire 009B ",8,8,4,7,9,8,8,9,8,4,4,4,3,4,12,6
"Monmouthshire 009C ",8,8,5,10,9,11,4,10,7,6,3,4,3,6,16,6
"Monmouthshire 009D ",3,4,3,5,1,0,5,8,4,2,2,4,2,3,9,4
"Monmouthshire 010C ",21,21,12,23,19,21,21,25,11,12,12,9,12,27,20,16
"Monmouthshire 010D ",7,6,5,8,10,9,4,3,8,6,2,5,6,3,13,6
"Monmouthshire 010E ",38,35,14,14,35,37,43,21,15,14,17,16,8,12,16,18
"Monmouthshire 010F ",32,31,14,17,38,33,25,27,11,16,15,10,12,14,21,18
"Monmouthshire 010G ",28,27,13,15,32,29,22,20,17,18,14,9,8,10,20,16
"Monmouthshire 011A ",7,6,7,12,7,6,7,5,4,10,6,6,7,8,17,8
"Monmouthshire 011B ",9,10,5,7,5,8,11,16,7,3,6,3,3,3,13,6
"Monmouthshire 011C ",9,9,4,7,11,7,9,6,7,6,6,1,4,4,12,6
"Monmouthshire 011D ",16,16,7,16,21,13,16,15,11,9,6,6,4,14,18,11
"Monmouthshire 011E ",5,4,2,7,9,3,4,1,4,5,2,2,3,4,11,3
"Monmouthshire 001A ",8,7,6,7,3,11,8,4,7,10,10,4,4,4,9,6
"Monmouthshire 001B ",11,13,6,6,10,15,8,22,3,5,4,4,5,4,9,6
"Monmouthshire 001C ",19,19,14,16,23,14,19,20,16,8,15,15,15,14,18,15
"Monmouthshire 001D ",6,8,10,7,1,6,10,16,5,10,12,13,4,5,10,8
"Monmouthshire 001E ",7,9,8,7,13,8,2,16,13,9,8,10,4,5,8,8
"Monmouthshire 002A ",47,43,22,22,60,46,37,30,28,24,25,18,16,17,30,27
"Monmouthshire 002C ",24,23,17,24,29,21,24,17,14,23,12,15,19,19,31,20
"Monmouthshire 002E ",18,17,12,15,19,14,20,14,7,18,9,11,14,15,17,14
"Monmouthshire 002F ",28,27,17,18,34,26,24,22,19,24,14,15,13,16,21,19
"Monmouthshire 003A ",8,7,4,6,8,16,3,3,14,4,6,2,4,6,6,5
"Monmouthshire 003B ",13,14,11,16,8,12,17,19,15,16,12,8,8,15,19,12
"Monmouthshire 003C ",21,21,12,17,14,31,19,23,8,12,15,10,9,16,18,15
"Monmouthshire 003D ",19,19,10,7,21,21,17,20,12,11,13,9,5,6,9,11
"Monmouthshire 003E ",15,14,8,10,12,15,18,10,6,13,10,7,6,9,12,10
"Monmouthshire 004A ",1,1,2,4,2,0,1,0,2,3,4,1,1,3,5,2
"Monmouthshire 004B ",16,17,9,15,10,15,20,22,6,9,7,10,8,13,19,12
"Monmouthshire 004C ",6,5,7,11,14,4,4,4,7,5,13,9,8,14,9,8
"Monmouthshire 004D ",27,26,13,16,28,22,32,21,7,19,13,12,9,9,23,16
"Monmouthshire 004E ",28,28,20,27,34,30,21,29,16,26,14,21,19,22,30,24
"Monmouthshire 004F ",23,22,10,18,31,13,24,20,9,10,10,8,8,13,23,14
"Monmouthshire 005A ",5,6,12,8,2,6,5,10,13,18,23,10,4,6,11,10
"Monmouthshire 005B ",8,12,9,14,11,0,12,26,6,3,6,12,8,11,18,10
"Monmouthshire 005C ",7,9,5,5,8,5,9,15,2,5,10,5,2,4,7,6
"Monmouthshire 005D ",11,10,5,10,18,11,6,8,4,10,4,3,4,7,16,7
"Monmouthshire 005E ",7,7,5,9,10,7,4,6,4,8,4,4,6,6,14,7
"Newport 001A ",8,9,7,10,6,9,9,16,5,6,7,7,8,8,12,8
"Newport 001B ",6,7,3,6,4,3,10,14,5,1,1,4,2,5,7,4
"Newport 001C ",8,7,6,10,4,10,9,4,3,7,4,6,9,10,9,7
"Newport 001D ",16,20,11,7,7,23,19,58,15,16,10,9,2,4,12,11
"Newport 001E ",10,9,4,5,14,7,10,3,5,6,6,4,2,3,8,5
"Newport 001F ",49,40,19,30,81,39,29,8,20,31,25,12,17,21,40,26
"Newport 004A ",9,9,5,9,10,8,8,9,9,6,4,3,4,6,15,6
"Newport 004B ",8,6,3,5,4,0,22,1,3,1,6,3,1,3,7,4
"Newport 004C ",3,4,4,4,0,6,1,11,3,5,2,4,2,3,6,4
"Newport 004D ",12,13,10,13,13,8,12,24,16,10,6,9,6,10,17,11
"Newport 004E ",31,29,14,24,27,28,39,19,14,15,12,13,14,24,24,19
"Newport 005A ",43,42,28,35,46,32,48,35,26,28,28,30,25,32,38,33
"Newport 005B ",24,23,13,18,20,25,27,17,19,13,13,11,9,16,21,16
"Newport 005C ",8,8,8,14,7,5,11,9,8,7,10,4,9,13,16,9
"Newport 005D ",40,38,20,18,40,40,39,26,24,23,20,22,9,18,19,23
"Newport 008A ",11,11,7,6,9,14,11,12,4,4,8,8,7,4,8,7
"Newport 008B ",12,11,8,10,11,17,9,10,6,9,9,8,6,12,8,9
"Newport 008C ",53,51,18,34,62,41,57,36,18,20,25,12,14,28,38,28
"Newport 008D ",30,31,14,31,29,36,26,35,13,16,13,11,12,27,33,21
"Newport 010A ",38,39,27,37,40,31,45,46,19,23,23,27,34,42,33,31
"Newport 010B ",45,43,25,34,42,43,48,37,22,22,29,23,22,30,37,31
